date,demand
4/6/2019,27378.7484
4/7/2019,28570.3966
4/8/2019,28459.3752
4/9/2019,28129.3497
4/10/2019,28153.7776
4/11/2019,27989.036
4/12/2019,26234.9428
4/13/2019,27796.2343
4/14/2019,26915.5917
4/15/2019,27276.3871
4/16/2019,28098.8381
4/17/2019,28188.7012
4/18/2019,28215.9582
4/19/2019,26589.1577
4/20/2019,28400.0219
4/21/2019,27514.8469
4/22/2019,29172.2389
4/23/2019,29065.6633
4/24/2019,28808.38
4/25/2019,28149.8044
4/26/2019,26703.291
4/27/2019,28742.53
4/28/2019,29669.0301
4/29/2019,30257.1672
4/30/2019,30556.9704
5/1/2019,31231.2609
5/2/2019,31466.4628
5/3/2019,30545.5272
5/4/2019,33205.6397
5/5/2019,33446.1991
5/6/2019,34174.3926
5/7/2019,34812.2545
5/8/2019,35462.8231
5/9/2019,35533.6179
5/10/2019,32740.8111
5/11/2019,34532.7305
5/12/2019,35506.7399
5/13/2019,35883.8458
5/14/2019,36385.0967
5/15/2019,37169.3185
5/16/2019,36724.9825
5/17/2019,34443.6749
5/18/2019,37458.9196
5/19/2019,38247.7702
5/20/2019,37925.2946
5/21/2019,36850.1745
5/22/2019,36260.667
5/23/2019,36432.4482
5/24/2019,35693.6444
5/25/2019,38926.1136
5/26/2019,39803.4391
5/27/2019,37153.7316
5/28/2019,40766.5656
5/29/2019,41078.3201
5/30/2019,40545.9823
5/31/2019,38015.3842
6/1/2019,40254.5822
6/2/2019,41161.5182
6/3/2019,41627.8927
6/4/2019,40320.4103
6/5/2019,39228.4398
6/6/2019,40057.1943
6/7/2019,40749.8452
6/8/2019,44876.2999
6/9/2019,45260.3478
6/10/2019,45063.966
6/11/2019,45538.0188
6/12/2019,45568.4475
6/13/2019,44570.9047
6/14/2019,41978.4664
6/15/2019,45193.7085
6/16/2019,46077.8709
6/17/2019,46383.3942
6/18/2019,46851.695
6/19/2019,46318.5407
6/20/2019,45136.7202
6/21/2019,42795.2539
6/22/2019,46040.2194
6/23/2019,47298.0243
6/24/2019,48029.8791
6/25/2019,48351.4705
6/26/2019,48438.7462
6/27/2019,47149.8761
6/28/2019,44266.2841
6/29/2019,45364.5958
6/30/2019,48052.8799
7/1/2019,46996.0629
7/2/2019,45372.4684
7/3/2019,45761.6449
7/4/2019,46051.6114
7/5/2019,43741.5762
7/6/2019,46868.8646
7/7/2019,47426.5639
7/8/2019,47551.5646
7/9/2019,47478.3723
7/10/2019,47046.2052
7/11/2019,46394.8651
7/12/2019,44720.9003
7/13/2019,47926.5132
7/14/2019,47525.7793
7/15/2019,47597.8634
7/16/2019,48365.3323
7/17/2019,48176.9695
7/18/2019,47094.4697
7/19/2019,44717.404
7/20/2019,48306.0455
7/21/2019,49139.9885
7/22/2019,50029.1941
7/23/2019,49408.0552
7/24/2019,48928.1784
7/25/2019,48180.0484
7/26/2019,45152.2371
7/27/2019,47676.9825
7/28/2019,47799.7142
7/29/2019,47475.246
7/30/2019,48174.1514
7/31/2019,49019.8931
8/1/2019,48571.3249
8/2/2019,45745.4696
8/3/2019,48657.1727
8/4/2019,48355.6604
8/5/2019,48814.8441
8/6/2019,47841.9547
8/7/2019,47143.8781
8/8/2019,46236.7593
8/9/2019,43276.0668
8/10/2019,46424.883
8/11/2019,46402.9912
8/12/2019,43157.8363
8/13/2019,45367.0574
8/14/2019,45547.2155
8/15/2019,44804.5995
8/16/2019,42664.378
8/17/2019,45202.0894
8/18/2019,44776.3541
8/19/2019,45425.7709
8/20/2019,43587.3096
8/21/2019,45496.9873
8/22/2019,44786.8021
8/23/2019,42857.5835
8/24/2019,46314.0189
8/25/2019,46616.6532
8/26/2019,46493.1057
8/27/2019,46331.6567
8/28/2019,46097.2079
8/29/2019,45076.2116
8/30/2019,42613.8228
8/31/2019,45199.6379
9/1/2019,44511.2829
9/2/2019,44175.4814
9/3/2019,44220.8708
9/4/2019,43803.4385
9/5/2019,43010.1772
9/6/2019,41026.1854
9/7/2019,43343.6718
9/8/2019,42023.9027
9/9/2019,36139.6409
9/10/2019,33221.4972
9/11/2019,38509.5789
9/12/2019,38621.82
9/13/2019,36637.4996
9/14/2019,39459.7577
9/15/2019,40018.4608
9/16/2019,40809.0945
9/17/2019,41656.7281
9/18/2019,42340.543
9/19/2019,41680.511
9/20/2019,38999.5533
9/21/2019,43783.9984
9/22/2019,42087.0485
9/23/2019,41341.9344
9/24/2019,41539.5634
9/25/2019,41174.0003
9/26/2019,40605.1906
9/27/2019,38680.3811
9/28/2019,40976.8649
9/29/2019,40916.6767
9/30/2019,40351.4868
10/1/2019,39913.4653
10/2/2019,39492.547
10/3/2019,38486.8273
10/4/2019,36048.5294
10/5/2019,36349.6681
10/6/2019,35738.2845
10/7/2019,36322.3424
10/8/2019,37076.9459
10/9/2019,37269.483
10/10/2019,36348.1298
10/11/2019,34179.8505
10/12/2019,36411.2117
10/13/2019,35985.1553
10/14/2019,35352.8479
10/15/2019,35088.467
10/16/2019,34125.9452
10/17/2019,33402.8738
10/18/2019,31481.8065
10/19/2019,30871.4455
10/20/2019,33224.8669
10/21/2019,32846.8193
10/22/2019,32758.5064
10/23/2019,32614.1393
10/24/2019,31983.6336
10/25/2019,30358.3147
10/26/2019,31203.4541
10/27/2019,28602.1151
10/28/2019,29835.3155
10/29/2019,29097.8009
10/30/2019,30820.6542
10/31/2019,30271.6136
11/1/2019,27946.4917
11/2/2019,29799.5003
11/3/2019,30111.5721
11/4/2019,30470.6084
11/5/2019,30260.8731
11/6/2019,28735.2014
11/7/2019,28842.7284
11/8/2019,27452.3364
11/9/2019,29413.2085
11/10/2019,29544.5656
11/11/2019,29631.67
11/12/2019,29622.2438
11/13/2019,29504.8812
11/14/2019,29087.6173
11/15/2019,27236.3733
11/16/2019,29222.4282
11/17/2019,28955.2651
11/18/2019,28998.5196
11/19/2019,29133.7294
11/20/2019,29498.3704
11/21/2019,28331.6722
11/22/2019,26498.0529
11/23/2019,29440.4262
11/24/2019,29987.4309
11/25/2019,29964.6243
11/26/2019,29948.1286
11/27/2019,30097.5664
11/28/2019,29507.8839
11/29/2019,27609.4047
11/30/2019,29945.2168
12/1/2019,30306.1725
12/2/2019,30119.0688
12/3/2019,30083.9348
12/4/2019,30113.716
12/5/2019,29843.4372
12/6/2019,27970.0015
12/7/2019,30213.3506
12/8/2019,30240.3235
12/9/2019,30100.663
12/10/2019,30303.6223
12/11/2019,30489.6183
12/12/2019,29710.159
12/13/2019,28016.8313
12/14/2019,30304.9146
12/15/2019,30544.324
12/16/2019,30369.6676
12/17/2019,29896.0084
12/18/2019,29865.2328
12/19/2019,29348.008
12/20/2019,27484.2705
12/21/2019,29099.4995
12/22/2019,29476.8672
12/23/2019,29726.6383
12/24/2019,30163.9656
12/25/2019,30033.7301
12/26/2019,29461.2143
12/27/2019,27695.3565
12/28/2019,30049.7553
12/29/2019,30420.4322
12/30/2019,30590.6281
12/31/2019,30829.8518
1/1/2020,30842.9636
1/2/2020,30196.306
1/3/2020,28445.3661
1/4/2020,30817.2191
1/5/2020,30642.4354
1/6/2020,29835.5534
1/7/2020,30547.3343
1/8/2020,30411.5236
1/9/2020,29972.0268
1/10/2020,28172.5789
1/11/2020,30330.6944
1/12/2020,30616.8403
1/13/2020,30802.3633
1/14/2020,31034.2126
1/15/2020,31024.2419
